first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Cory,Booker,Committee on Foreign Relations,"Subcommittee on Near East, South Asia, Central Asia, and Counterterrorism",,,B001288,,,,,,
Cory,Booker,Committee on Small Business and Entrepreneurship,,,,B001288,,,,,,
Cory,Booker,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",,,B001288,,,,,,
Cory,Booker,Committee on the Judiciary,Subcommittee on Border Security and Immigration,,,B001288,,,,,,
Cory,Booker,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,,,B001288,,,,,,
Cory,Booker,Committee on the Judiciary,Subcommittee on the Constitution,,,B001288,,,,,,
John,Boozman,Commission on Security and Cooperation in Europe,,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Conservation, Forestry, Natural Resources, and Biotechnology",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Rural Development, Energy, and Credit",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,Subcommittee on Department of Defense,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,Subcommittee on Financial Services and General Government,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,"Subcommittee on Military Construction, Veterans Affairs, and Related Agencies",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,"Subcommittee on State, Foreign Operations, and Related Programs",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Appropriations,"Subcommittee on Transportation, Housing and Urban Development, and Related Agencies",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water",N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,N00013873,S0AR00150,B001236,,,,,,S0AR00150
John,Boozman,Committee on Rules and Administration,,N00013873,S0AR00150,B001236,,,,,,S0AR00150
